nombre,horas_turno,personal,libra,dias,fechas,num_dias,num_fechas,tipo,periodo,monday,tuesday,wednesday,thursday,friday,saturday,sunday,festivo
HEMS_tarde,8.0,1,True,"monday, tuesday, wednesday, thursday, friday","2025-07-01, 2025-07-02, 2025-07-03, 2025-07-04, 2025-07-14, 2025-07-15, 2025-07-16, 2025-07-17, 2025-07-18, 2025-07-28, 2025-07-29, 2025-07-30, 2025-07-31, 2025-08-01, 2025-08-11, 2025-08-12, 2025-08-13, 2025-08-14, 2025-08-25, 2025-08-26, 2025-08-27, 2025-08-28, 2025-08-29, 2025-09-09, 2025-09-10, 2025-09-12, 2025-09-22, 2025-09-23, 2025-09-24, 2025-09-25, 2025-09-26, 2025-10-06, 2025-10-07, 2025-10-08, 2025-10-09, 2025-10-10, 2025-10-20, 2025-10-21, 2025-10-22, 2025-10-23, 2025-10-24, 2025-11-03, 2025-11-04, 2025-11-05, 2025-11-06, 2025-11-07, 2025-11-17, 2025-11-18, 2025-11-19, 2025-11-20, 2025-11-21, 2025-11-24, 2025-11-25, 2025-11-26, 2025-11-27, 2025-11-28, 2025-12-09, 2025-12-10, 2025-12-11, 2025-12-12, 2025-12-22, 2025-12-23, 2025-12-24",5,63,HEMS,Tarde,True,True,True,True,True,False,False,False
HEMS_festivo,8.0,1,True,"saturday, sunday, festivo","2025-07-06, 2025-07-20, 2025-08-03, 2025-08-15, 2025-08-17, 2025-08-31, 2025-09-08, 2025-09-11, 2025-09-14, 2025-09-28, 2025-10-12, 2025-10-26, 2025-11-09, 2025-11-23, 2025-11-30, 2025-12-08, 2025-12-14, 2025-12-25, 2025-12-26, 2025-12-28",3,20,HEMS,Festivo,False,False,False,False,False,True,True,True
Coordis_diurno,12,1,False,"monday, tuesday, wednesday, thursday, friday","2025-01-02, 2025-01-04, 2025-01-14, 2025-01-31, 2025-02-12, 2025-02-16, 2025-02-24, 2025-03-13, 2025-03-15, 2025-03-25, 2025-04-11, 2025-04-23, 2025-04-27, 2025-05-05, 2025-05-22, 2025-05-24, 2025-05-28, 2025-06-01, 2025-06-09, 2025-06-26, 2025-06-28, 2025-07-08, 2025-07-25, 2025-08-06, 2025-08-10, 2025-08-18, 2025-09-04, 2025-09-06, 2025-09-16, 2025-10-03, 2025-10-15, 2025-10-19, 2025-10-27, 2025-11-13, 2025-11-15, 2025-12-01, 2025-12-18, 2025-12-20, 2025-12-30",5,39,Coordis,Mañana,True,True,True,True,True,False,False,False
Coordis_nocturno,12,1,True,"monday, tuesday, wednesday, thursday, friday","2025-01-02, 2025-01-04, 2025-01-14, 2025-01-31, 2025-02-12, 2025-02-16, 2025-02-24, 2025-03-13, 2025-03-15, 2025-03-25, 2025-04-11, 2025-04-23, 2025-04-27, 2025-05-05, 2025-05-22, 2025-05-24, 2025-05-28, 2025-06-01, 2025-06-09, 2025-06-26, 2025-06-28, 2025-07-08, 2025-07-25, 2025-08-06, 2025-08-10, 2025-08-18, 2025-09-04, 2025-09-06, 2025-09-16, 2025-10-03, 2025-10-15, 2025-10-19, 2025-10-27, 2025-11-13, 2025-11-15, 2025-12-01, 2025-12-18, 2025-12-20, 2025-12-30",5,39,Coordis,Otro,True,True,True,True,True,False,False,False
Coordis_festivo,12,1,True,"saturday, sunday, festivo","2025-01-02, 2025-01-04, 2025-01-14, 2025-01-31, 2025-02-12, 2025-02-16, 2025-02-24, 2025-03-13, 2025-03-15, 2025-03-25, 2025-04-11, 2025-04-23, 2025-04-27, 2025-05-05, 2025-05-22, 2025-05-24, 2025-05-28, 2025-06-01, 2025-06-09, 2025-06-26, 2025-06-28, 2025-07-08, 2025-07-25, 2025-08-06, 2025-08-10, 2025-08-18, 2025-09-04, 2025-09-06, 2025-09-16, 2025-10-03, 2025-10-15, 2025-10-19, 2025-10-27, 2025-11-13, 2025-11-15, 2025-12-01, 2025-12-18, 2025-12-20, 2025-12-30",3,39,Coordis,Festivo,False,False,False,False,False,True,True,True
UCI_G_lab,7.6,1,True,"monday, tuesday, wednesday, thursday, friday",,5,0,UCI,Otro,True,True,True,True,True,False,False,False
UCI_G_festivo,24,1,True,"saturday, sunday, festivo",,3,0,UCI,Festivo,False,False,False,False,False,True,True,True
Urg_G_noche_l,7.6,1,True,"monday, tuesday, wednesday, thursday",,4,0,Urgencias,Noche,True,True,True,True,False,False,False,False
Urg_G_tarde-noche_l,17,1,True,friday,,1,0,Urgencias,Noche,False,False,False,False,True,False,False,False
Urg_G_festivo_mañana,12,1,False,"saturday, sunday, festivo",,3,0,Urgencias,Mañana,False,False,False,False,False,True,True,True
Urg_G_festivo_noche,12,1,True,"saturday, sunday, festivo",,3,0,Urgencias,Noche,False,False,False,False,False,True,True,True
Urg_G_refuerzo_fyf,13,1,True,"saturday, sunday, festivo",,3,0,Urgencias,Otro,False,False,False,False,False,True,True,True
